NOB ORIGINAL	SME_Finland	komm	SME2_Finland	SME_Norge	SME2_Norge	FIN MANUELL	SME APERTIUM	NOBSME Google	FINSME google	NOBSME TARTU	FINSME TARTU	
livslang	eallinguhkkosaš					elämänpituinen	eallinguhkkosaš	eallinagi	eallinagi	eallingeardi	olles eallinagi bistán	
livsstilsfaktor	eallinvuohkefáktor					elämäntapatekijä 	eallinvuohkái #čuohcit #dahkki 	eallindábiid fáktor	fáktor mii váikkuha eallinvuohkái	eallinvuohkefáktor	eallinvuohkái	
livsstilsendring	eallinvuohkerievdadeapmi					elämäntapamuutos	eallinvuohkeiežáhus	eallindábiid rievdadeapmi	eallindábiid rievdadeapmi	eallinvuogi rievdan	eallinvuohkeheapmi	
livshistorie	eallinmuitalus		eallinhistorjá			elämäntarina	#eallimáinnas	eallinhistorjá	eallinmuitalus dahje biografiija	mu eallinmuitalus	muitalus eallimis	
emboli	emboliija		varrabunci			embolia	veritulppa	emboliija	emboliija	embryo	embolia	
emisjon	emišuvdna		suonjardeapmi			emissio	säteily	ášši	luoitin	emisuvdna	emis	
empatievne	empátiijanákca					empatiakyky	empatiijagálga	empatiija	empatiija	empáhtalaš	empatiija	
skjedekrampe	cinnákrámpa					emätinkouristus		vaginála spasma	vaginála spasma	skáhppesdávda	konfirmašuvdna	
skjedeåpning	cinnáráigi					emätinaukko	viiggá ráigi	vaginála rahpan	vaginála rahpan	skohterláhppu	cinni ráigi	
skjedekatarr	cinnávuolši					emätintulehdus	viiggá 	čalbmeváttut	bakteriijalaš vaginosa, mii lea hehttehus bakteriijaid balánssas vaginas	skideekatarr	bakteriavaginnosa siskkáldas struktuvrralaš váikkuhus	
skjedevegg	cinnáseaidni					emättimen seinämä  vaginan seinämä	viiggá seaidni  viiggá seaidni	vaginála seinni	vaginála seinni vaginála seinni	skáhppesmuorji	gutnána seaidni, gutnána seaidni	
kjernejournal	váibmojournála					ydinraportti	in *digital *løsning *for *deling *av *pasientenes *helseopplysninger *på *tvers *av *virksomheter *og 	guovddáš áigečála	sme digitála čoavddus pasieanttaid gieđahallamii veahkkeneavvuid ektui	váldojournála	digitála čoavddus mas dearvvašvuođadoaimmahaga doaimmahagat ja dásit juhket pasieanttaid dearvvašvuođadieđuid	
energiomsetning	energiijaávnnasmolsašuddan					energia-aineenvaihdunta	#alva#emisjon	energiijavuogádat	energiijametabolisma	energiijamolsun	energiija molsašuddan	
energimengde	energiijamearri					energiamäärä	alvamearri	energiijamearri	energiijamearri	energiija hivvodat	energiija hivvodat	
energiforbruk	energiijageavaheapmi					energiankulutus	alvvagolahus	energiijageavaheapmi	energiijageavaheapmi	energiijageavaheapmi	energiijagolaheapmi	
energiinntak	energiijaoažžun					energiansaanti	alvvaoažžun	energiijaváldin	energiijaváldin	energiijavuostáiváldin	energiijafuolla	
ernæringsbehov	energiijadárbu					energiantarve	alvvadárbu	biebmodárbbut	energiijadárbu	biebmodárbu	energiijadárbu	
energirik	energiijarikkis					runsasenerginen		energiijalaš	alla energiija, alla energiija?	ollu energiija	ollu energiija	
energiprosent	energiijaproseanta					energiaprosentti	alvaproseanta	energiijaproseanta	energiijaproseanta	energiijaproseanta	energiijaproseanta	
næringstett	biebmorikkis					ravintotiheä		biebmoávdnasat	alla energiija	ealáhuslaččat nanu	energiijarikkis	
energiinnhold	energiijasisdoallu					energiasisältö	alvasisdoallu	energiijasisdoallu	energiijasisdoallu	energiijasisdoallu	energiijačoahkki	
energitetthet	energiijadeahtisvuohta					energiatiheys	#alva#deahtisvuohta	energiijadeaddu	energiijadeaddu	energiijavuođđu	energiijahivvodat	
alarmsymptom	ovdadávdamearka					ennakko-oire  esioire	*ennakko-symptoma  	heahtedávdamearka	ovdal dávdamearkka ovdal dávdamearkka	alarmsymbol	ovdaáddejumi ovdaáddejupmi	
epikrise	epikrisa		dikšumuitalus, loahpamuitalus			epikriisi	hoitoyhteenveto, loppulausunto	epikriisa	epikriisa	epikriseansa	epikritihkka	
epitelcelle	epiteliijasealla					epiteelisolu		epiteliijasealla	epiteliijasealla	epitelealla	epihttalaš sealla	
ereksjonsproblem	erekšuvdnaproblema					erektio-ongelma	erekšuvdnaproblema	erekšuvnnalaš dysfunkšuvdna	erekšuvnnalaš dysfunkšuvdna	erekšuvdnaváttisvuohta	erekšuvdnaváttisvuohta	
ereksjonsevne	erekšuvdnanákca					erektiokyky	erekšuvdnagálga	erekšuvnna doaibma	erekšuvnnalaš dáidu	erekšuvdnadássi	ceagginnávccat	
ereksjonspumpe	erekšuvdnapumpa					erektiopumppu	erekšuvdnapumpa	erekšuvdnapumpa	erekšuvdnapumpa	erekšuvdnapumpa	erekšunbumpa	
spesialseng	erenoamáš seaŋga					erikoissänky		erenoamáš seaŋga	erenoamáš seaŋga	erenoamáš seaŋga	erenoamáš seaŋga	
spesialistgodkjenning	spesiáladoavttirdohkkeheapmi	£	earenomášdoavttirdohkkeheapmi	spesialiserendohkkeheapmi		erikoistumisen hyväksyntä	sierraneami dohkkeheapmi	spesialistadohkkeheapmi	spesialiserema dohkkeheapmi	spesialistaguorahallan	spesialiseren dohkkeheapmi	
LIS-lege	LIS-doavttir	£	doavttir spesiálistaoahpus	doavttir spesialistaoahpahusas 		erikoistuva lääkäri	*erikoistuva doavttir	LIS-doavttir	spesialistadoavttir	LIS-doavttir	spesialista doavttir	
sekresjonsmengde	vuhčosmearri					eritteen määrä	#čuolddašupmi #mearri	eretváldinmearri	eretváldima mearri	sekšuvdnadássi	ekskreantamearri	
utskillelse	vuoža					erite	vuohčun	heaittiheapmi	eretváldin	heaittiheapmi	erekšon	
foldtykkelse	máhcastatassodat	£				taitospaksuus	*esim. *niskapoimun assodat	čalbmáičuohcci assásvuohta	omd. hávgga njuolggočalmmi guhkkodat.	čihkojuvvon	omd nástti roahkasnuppi guvlui	
eksempellæring	ovdamearkkaoahppu			ovdamearkkaoahppu		esimerkinoppiminen	eksempela veahkis oahppat	oahppat ovdamearkka bokte	oahppat ovdamearkka bokte	ovdamearkkaoahppu	oahppat ovdamearkkaid bokte	
helsehistorie	dearvvašvuođahistorjá		dearvvašvuođadiehtu 		terveydenhuollon historia; terveyshistoria	*esitiedot *anamneesi  healssadikšuma historjá 	dearvvašvuođahistorjá	Eaktun anamnesa dearvvašvuođahistorjá	dearvvašvuođahistorjá	ovdadieđut anakeahta dearvvašvuođafuolahusa historjjás		
anamneseskjema	ovdadiehtoskovvi					esitietolomake		medisiinnalaš historjjá skovvi	ovdadiehtojuohkinskovi	lea jeagelskovvi	ovdadiehtovuorká	
forforståelse	ovdaáddejupmi; ovdaipmárdus			ovdaipmárdus 		ennakkokäsitys		ovdaáddejupmi	ovdaáddejupmi	ovdaáddejupmi	ovdaáddejupmi	
hemning	caggaseapmi	£				esto	caggaseapmi	eastadeapmi	eastadeapmi	hehttehussan	eastta	
østrogen	estrogena					estrogeeni	østrogena	østrogena	østrogena	estrogena	estrogena	
østrogentilskudd	estrogenalassi					estrogeenilisä	østrogenalassi	østrogena lasáhus	østrogena lassiávnnas	østrogenttilskudd	østrogena lasáhus	
østrogenproduksjon	estrogenabuvttadeapmi					estrogeenin tuotanto	østrogena duddjon	østrogena buvttadeapmi	østrogena buvttadeapmi	estrogena buvttadeapmi	estrogenabuvttadeapmi	
østrogennivå	estrogenadássi					estrogeenitaso	østrogenadássi	østrogena dássi	østrogena dássi	østrogena dássi	østrogena dássi	
østrogenfall	estrogenagahččan					estrogeenilasku	østrogenadási rehket	østrogena lassáneapmi	østrogena dási lassáneapmi	estrogena vuosttaldeapmi	østrogena njiedjan	
østrogenmangel	estrogenavátni					estrogeenivaje		østrogena váilevašvuohta	østrogena váilevašvuohta	estrogena váilivuohta	eastrogena vátni	
prostatakjertel	prostata 	£	ovdaráksá	ovdaráksá		eturauhanen	ávkeráksá	prostata	prostata	ovdaráksá raksa	ovdaraksa	
prostataoperasjon	prostatačuohpahus		ovdarávssáčuohpahus	ovdarávssáčuohpahus 		eturauhasleikkaus		prostatakirurgiija	prostatakirurgiija	ovdaráksakirurgiija	ovdaráksá čuohpadeapmi	
prostatabesvær	prostataváttu		ovdaráksáváttut	ovdaráksá váttut 		eturauhasvaiva		prostataváttisvuohta	prostataváttisvuohta	ovdaráksáshkka	ovdaráksáváivvit	
EU-direktiv	EU-direktiiva					EU-direktiivi		EU-direktiiva	EU-direktiiva	EU:a direktiiva	EU-direktiiva	
evidens	duođaštus					evidenssi; todiste	näyttö	duođaštus	duođaštusat	duođalaš	vuolláneapmi	
farmasi	farmasiija					farmasia		apotehka	apotehka	apotehka	apotehka	
fibromyalgi	fibromyalgiija					fibromyalgia		fibromyalgiija	fibromyalgiija	fibromyalgiija	fibromyalgia (fibromyalgia)	
fissur	fissuvra		uddu			fissuura  halkeama  haavauma	*fissuura  *halkeama  uddu	fissure	fissure split ulcer	fiissu	fissu mii lea cuovkanan hávvái	
fistel	fistela					fisteli		fistula	fistula	meavrresgárri	fásta	
fluor	fuolahusárvosaš					fluori		fluora	fluora	fluor	fluor	
kroppskontakt	gorutkontákta		rumašlaš kontákta	rumaš guoskkahallan 		fyysinen kontakti	#fysalaš kontákta	rumašoktavuohta	fysalaš oktavuohta	rumašoktavuohta	fysalaš oktavuohta	
genetikk	genetihkka					genetiikka	perinnöllisyystiede	genetihkka	genetihkka	genehtalaš ášši	genetihkka	
glukoseintoleranse	glukosaintoleránsa					glukoosi-intoleranssi	Glukosa #yliherkkyys liikehearkivuohta	glukosaváilevašvuohta	glukosaváilevašvuohta	glykosa-geaseheapmi	glukosa-geahnohisvuohta	
glutenintoleranse	glutenaintoleránsa					gluteeni-intoleranssi	#glutenaintoleránsa, liikehearkivuohta	glutenváilevašvuohta	glutenváilevašvuohta	gluteenageavaheapmi	gluteenageavaheapmi	
glykogen	glykogena					glykogeeni	glykogena	glykogena	glykogena	glykogenalaš	gáhppálat	
glykogenlager	glykogenarádju					glykogeenivarasto	glykogenarádju	glykogena gálvvut	glykogena vurken	glykogeanavuorká	glykogeanavuorká	
glyserol	glyserola					glyseroli		glyserola	glyserola	gliserola	gliserola	
sårsekresjon	hávvevuoža					haavaerite	#hávvi#čuolddašupmi	hávve eretváldin	hávveeksudahta	hávvesekšuvdna	hávvaovdaáiti	
sårveiledning	hávvedikšobagadallan			hávvedivššu bagadallan		haavahoidon ohjaus	hávvedivššu bagadallan	hávverávven	hávvedikšuma hálddašeapmi	hávváduvvon veahkki	háviid dikšuma stivren	
sårvurdering	hávveárvvoštallan			hávi árvvoštallan 		haavan arviointi	subi evalueren	hávveárvvoštallan	hávveárvvoštallan	rašes árvvoštallan	hávvaárvvoštallan	
sårdannelse	uddu			hávi álgu 		haavauma	subi ovddideapmi	buozalmasvuohta	ulcera ovdáneapmi	hávvi hávvi	hávvá ovdáneapmi	
sårheling	savvot			hávi buorráneapmi 		haavan arpeutuminen	subi 	hávvebuorideapmi	hávvebuorideapmi	hávdingárgedeapmi	hávvebargan	
sårbunn	hávvevuođđo	£	hávi vuođđo	hávvevuođđu 		haavapohja	subi bodni	hávvevuodjin	hávi vuolábealde	hávvádus	hávddi vuođđu	
sårkant	hávveravda	£	hávi ravda	hávveravda 		haavan reuna	subi ravda	hávgga rádji	hávgga rádji	hávvi	hávgga ravda	
sårfase	hávvemuddu	£	hávi muddu			haavan vaihe	subi muddu	hávvefása	hávvedássi	hávvaáigodat	hávvádatdássi	
sårveiledning	hávvedivššurávven			hávvedivššu bagadallan 		haavanhoidon ohjaus	subedivššu bagadallan	hávverávven	hávvedikšuma hálddašeapmi	hávváduvvon veahkki	hávvádikšuma stivren	
sårbehandling	hávvedikšun			hávvedikšun 		haavanhoito	subedikšu	hávvedikšun	hávvedikšun	hávvardikšu	hávvádikšu	
sårskift	hávvedikšun	£				haavanhoito	subedikšu	hávvečoaggin	hávvedikšun	hávvaolbmolsašupmi	hávvádikšu	
sårskifte	hávvedikšun	£				haavanhoito	subedikšu	hávvečoaggin	hávvedikšun	hávváduhttin	hávvádikšu	
sårstell	hávvedikšun			hávvedikšun 		haavanhoito	subedikšu	hávvedikšun	hávvedikšun	hávvádus	hávvádikšu	
sårpoliklinikk	hávvepoliklinihkka					haavapoliklinikka	hávvepoliklinihkka	hávveklinihkka	hávvepoliklinihkka	soardinpoliklinihkka	roavvenpoliklinihkka	
sårinfeksjon	hávvevuolši			sidjon hávvi 		haavatulehdus	haavainfektio	hávveinfekšuvdna	hávveinfekšuvdna	hávvi infekšuvdna	hávvačoavji	hávvevuolši
sårtype	hávvetiipa			hávvemálle 		haavatyyppi	hávvetiipa	hávvešládja	Hávvešládja	hávvašládja	hávvačoavji	
fordampning	hevrriideapmi			lievlla 		haihdunta		gahččan	gahččan	vuoigŋan	vuoigŋan	
fordampningsvarme	hevrriidanliekkas			lievlla liekkas 		haihtumislämpö		dámppaheami lieggasa	dámppaheami lieggasa	áibmonuoskkideapmi	vuoigŋanliekkas	
luktsenter	hádjaguovddáš	£		haksinguovddáš 		hajukeskus	#hádja#guovddaš	olfaktoralaš guovddáš	olfaktoralaš guovddáš	haksunguovddáš	hearkesguovddáš	
luktproblematikk	hádjaváttisvuohta	£	hádjaváttisvuođat	haksinváddu 		hajuongelmat	hádjaproblemat	njuoskkasváttisvuođat	njuoskkasváttisvuođat	haksinváttisvuohta	vuoigŋanášši	
sprekkdannelse	luoddaneapmi			luoddaneapmi 		halkeaminen	luoddanit 	čuoikkaid šaddan	čuoikkaid šaddan	ráigi	cuozza hápmi	
mestringskurs	hálddašankursa			hálddašankursa 		hallintakurssi	#kontrolla#gursa	meašttirkursa	jođihankursa	čiekŋudankursa	hálddašankursa	
mestringskompetanse	hálddašangelbbolašvuohta	£	hálddašandáidu; hálddašankompetansa	hálddašangealbu 		hallintataito	kontrolladáidu	gierdanmáhttu	jođihangelbbolašvuohta	máhtestuvvangealbu	hálddašeapmi	
hallusinogen	hallusinogena					hallusinogeeni		hallusinogena	hallusinogena	hallusinogenalaš	hallusinogenalaš	
tannbein	bátnedákti					hammasluu	bátnedákti	njuoratmánná	njuoratmánná	bátneluohkká	bániidlistu	
tannprotese	bátneprotesa		dahkubánit	koanstabánit 		hammasproteesi	bátneprotesa	giehtaproteasa	giehtaproteasa	bátnegeavahanproseassa	bátnedoavttir	
tannhals	báni čeabi					hampaan kaula	báni čeabi	njuoratmánná	njuoratmánná	bátnedoallu	báni gákti	
tannstell	bátnedikšun			bániid dikšun		hammashoito	bániid dikšu	giehtadikšu	giehtadikšu	bátnedoallu	min bátnedikšu	
tannløsning	bátneluovvaneapmi		luovvanit	bániid luovvaneapmi 		hampaiden irtoaminen	bániid luovvanit	njuoratmánná	čalmmit gahččet eret	čoavddus bániide	bániid čuoldin	
tannpuss	bátnegeallan			bátnegeallan 	bániid buhtisteapmi 	hampaiden puhdistus	bániid buhtástus	buhtistit čalmmiid	čalmmiid buhtisvuohta	bátnedoallu	bániid čuggen	
tannstatus	bátnestatus		bániid (dearvvašvuođa)dilli	bániid dilli 		hampaiden terveydentila	bániid healssadilli	dentála dilli	giehtadearvvašvuohta	bátnestáhtus	dearvvašvuođadilli báttiin	
oksygentilførsel	oksygena oažžun			oksygena addin		hapen saanti	oksygena addin	oksygena buvttadeapmi	oksygena addima	oksygenasealvadeapmi	ávdnasat	
oksygenforbruk	oksygenageavahus	£	oksygenaatnin	oksygenageavaheapmi		hapen käyttö	oksygena atnin	oksygena geavaheapmi	oksygena geavaheapmi	oksygenageavaheapmi	oksygenageavaheapmi	
oksygentransport	oksygena fievrredeapmi			oksygenafievrrideapmi		hapenkuljetus	oksygenafievrrideapmi	oksygena fievrrideapmi	oksygena fievrrideapmi	oksygenafievrrideapmi	oksygenfiltreren	
oksygenopptak	oksygenaváldin			oksygenavuostáiváldin	oksygenváldin	hapenotto	#oksygena#váldin	oksygena váldin	oksygena váldin	oksygenavuostáiváldin	oksygenváldin	
oksygenbehov	oksygenadárbu			oksygenadárbu		hapentarve	oksygenadárbu	oksygena dárbu	oksygena dárbu	oksygenadárbu	oksygenadárbu	
surhetsgrad	suvrodatdássi			suvredássi 		happamuusaste		suvrrasvuohta	suvrrasvuohta	surgadis dássi	happedássi	
oksygenbehandling	oksygenadikšun			oksygenadikšon  		happihoito	oksygenadikšu	oksygenaterapiija	oksygenaterapiija	dikšun oksygena bakte	oksygenadutkan	
oksygenterapi	oksygenaterapiija			oksygenadikšu		happiterapia		oksygenaterapiija	oksygenaterapiija	oksygenterapiija	oksygenadutkan	oksygenadikšu
oksygenutstyr	oksygenarusttet			oksygenarusttet		happilaite	oksygenarusttet	oksygena rusttegat	oksygena rusttet	oksygenrusttet	happinrusttegat	
surstoffapparat	oksygenarusttet			suvreáhparáhttá		happilaite	oksygenarusttet	oksygena rusttegat	oksygena rusttet	happivuođarusttegat	happinrusttegat	
oksygeninnhold	oksygenadoallu			oksygenasisdoallu		happipitoisuus	oksygenasisdoallu	oksygena sisdoallu	oksygena sisdoallu	oksygenasealli	happisvuohta	
oksygennivå	oksygenadássi			oksygenadássi		happitaso	oksygenadássi	oksygena dássi	oksygena dássi	oksygenadássi	happodatdássi	
oksygensbrille	oksygenabrillat	£	oksygenanjunnekanyla	oksygena-čalbmeglása		happiviikset	oksygenaskávžžát	oksygenamáska	oksygena njuoratmánná	Oxygena-čalbmeglása	happivuohta	
syreangrep	suvrefalleheapmi			suvredohppeheapmi 		happohyökkäys	suvrefalleheapmi	syrafalleheapmi	syrafalleheapmi	suvrra arvi	happirihkkun	
syrekapp	suvrelihpar	£				happovaippa	suvrelihpar	syramantel	syramantel	suvrra gahpir	happisuvdna	
syrekappe	suvrelihpar	£				happovaippa	suvrelihpar	syramantel	syramantel	suddadanbivttas	happisuvdna	
syreoverskudd	suvrebadjebáza			suvrebadjebáza		happoylijäämä	suvrebadjebáza	liigesyra	syra badjelmeare	suddadanbadjebáza	oksygenbázahus	
feiltrinn	boasttolávki			boasttuvuohta		harha-askel	govahallanlávki	vealaheapmi	boastut lávki	boasttuvuohta	árdnagiisá	
praksisperiode	hárjehallansáigodat		hárjehusoassi	hárjehallanáigodat 		harjoittelujakso	hárjehusoassi	bargohárjehallanáigodat	hárjehallan	praksisaáigodat	hárjehallanáigi	
øvingsprogram	hárjehusprográmma	£	hárjehallanprográmma		harjoitusohjelma	hárjehusprográmma	hárjehallanprográmma	hárjehallanprográmma	hárjehallanprográmma	hárjehallanprográmma		
treningsregime	hárjehállanprográmma	£		hárjehallanvuohki		harjoitusohjelma	hárjehusprográmma	hárjehallanortnet	hárjehallanprográmma	hárjehallanvuohki	hárjehallanprográmma	
gisping	gávvasat					haukottelu	gávas=haukotus	njuoratmánná	njuoratmánná	gessun	cielaheapmi	
skrøpelighet	geanohisvuohta			dárpmehisvuohta 		hauraus; raihnaus		váibmoláđisvuohta	ráfálašvuohta	rašši	hui rašši	
persepsjon	dárkun			áican		havainto	áican	gávdnan	persepšuvdna	áican		
fruktjuice	heđenmáihli 					hedelmämehu	heđenmáihli	šaddojuogu	ođđa šaddojuogu	šattusčáhci	šattut ja šaddogálvvut	
ømhet	raššivuohtavuohta					hellyys, arkuus	váibmoláđisvuohta	váibmoláđisvuohta	hearkkesvuohta	hearkivuohta		
hemoglobinverdi	hemoglobiidnaárvu					hemoglobiiniarvo	hemoglobiidnaárvu	hemoglobiinna árvu	hemoglobiinna árvu	hemoglobiidnaárvu	hemoglobiidnaárvu	
hemoglobinkonsentrasjon	hemoglobiinna konsentrašuvdna					hemoglobiinikonsentraatio		hemoglobiinna konsentrašuvdna	hemoglobiinna konsentrašuvdna	hemoglobiinna mearit	hemoglobiinna mearit	
hemoglobinmolekyl	hemoglobiidnamolekyla					hemoglobiinimolekyyli	hemoglobiidnamolekyla	hemoglobiinna molekyla	hemoglobiinna molekyla	hemoglobiidnamolekyla	hemoglobiidnamolekyla	
hemoglobininnhold	hemoglobiinna mearri					hemoglobiinin määrä	hemoglobiinna #mearri	hemoglobiinna sisdoallu	hemoglobiinna mearri	hemoglobiidnasisdoallu	hemoglobiinnamihttu	
hemoglobinnivå	hemoglobiidnadássi					hemoglobiinitaso	hemoglobiidnadássi	hemoglobiinna dássi	hemoglobiinna dássi	hemoglobiinnadássi	hemoglobiinnadássi	
respirasjonsbesvær	vuoigŋanváddu	£	lahpastuvvan			hengenahdistus; hengitysongelma	dyspnea, vuoiŋŋa	vuoiŋŋašváttut	oanehis vuoiŋŋasteapmi	vuoiŋŋahatgássa	vuoigŋanvuohki	heakkaáŧestus
åndedrag	vuoiŋŋahat					hengenveto	heakkahiistu	vuoiŋŋahat	vuoiŋŋahat	vuoiŋŋasteapmi	vuoiŋŋasteapmi	
respirasjonsstatus	vuoigŋanstáhtus					hengitystatus	vuoigŋama #klinihkalaš stáhtus	vuoiŋŋahatdilli	vuoiŋŋahatklinihkalaš dilli	vuoiŋŋastanstáhtus	vuoiŋŋasteami klinihkalaš stahtus	
respirasjonsdybde	vuoigŋama čikŋodat					hengityksen syvyys	vuoigŋama čikŋodat	vuoiŋŋasteami govdodat	vuoiŋŋasteami govdodat	vuoiŋŋahaga čiekŋalisvuohta	vuoiŋŋasteapmi	
respirasjon	respirašuvdna; vuoigŋan					hengitys; respiraatio	vuoigŋan	vuoiŋŋasteapmi	vuoiŋŋahat	vuoiŋŋasteapmi	vuoigŋan	
pusting	vuoigŋan					hengitys  	vuoigŋan  sahkat	vuoiŋŋasteapmi	vuoiŋŋasteapmi vuoiŋŋasteapmi	vuoiŋŋasteapmi	vuoigŋa	
respirasjonsorgan	vuoigŋanorgánat					hengityselimet	vuoigŋanorgánat	vuoiŋŋahatorgána	vuoiŋŋahatvuogádat	vuoiŋŋahatorgána	vuoiŋŋahatorgánat	
luftveissykdom	vuoigŋanorgánadávda					hengityselinsairaus	vuoigŋanorgánabuohcu	vuoiŋŋašdávda	vuoiŋŋašdávda	vuoiŋŋahatdávda	vuoiŋŋašdávda	
respirasjonsforstyrrelse	vuoigŋanhehttehus					hengityshäiriö	vuoigŋansegohus	vuoiŋŋašváttut	vuoiŋŋašváttut	vuoiŋŋahatváttut	vuoigŋanváddu	
respirasjonssystem	vuoigŋanvuogádat					hengitysjärjestelmä	vuoigŋanvuogádat	vuoiŋŋahatvuogádat	vuoiŋŋahatvuogádat	vuoiŋŋahaga vuogádat	vuoigŋanvuohki	
respirasjonssenter	vuoigŋanguovddáš					hengityskeskus	#vuoigŋan#guovddaš	vuoiŋŋahatguovddáš	vuoiŋŋahatguovddáš	vuoiŋŋahanguovddáš	vuoiŋŋadusguovddáš	
respiratorpasient	vuoigŋanmašiidnabuohcci		vuoigŋŋahatmašiidnabuohcci			hengityskonepotilas	#vuoigŋan#mašiidna#buohcci	ventilašuvdnapasieanta	ventilašuvdnapasieanta	vuoiŋŋahatvigi	vuoiŋŋahatdávda	
